Date,Potencial de Hidrógeno (in situ),Sólidos Suspendidos Totales,Caudal,Conductividad Eléctrica,Temperatura de la muestra,Oxígeno disuelto (en campo),Turbiedad,Cianuro Total,Zinc total,Cobre total,Plomo total,Arsénico total,Cadmio total,Mercurio total,Hierro total,Cromo Total,Niquel total,Manganeso total,Potencial rédox
2003-01-05,8.65,17.0,40.34,343.8,16.2,7.98,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-12,8.56,5.0,45.61,637.0,16.9,9.48,2.35,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-19,8.93,9.0,28.93,413.3,18.5,8.5,9.48,0.004,0.049,0.012,0.03,0.002,0.0,0.0,0.391,0.0,0.0,0.0,0.0
2003-01-26,8.19,35.0,56.47,287.5,16.1,16.1,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-02,8.28,28.0,58.36,263.0,14.2,8.98,28.8,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-09,8.17,91.0,59.036,309.7,13.3,9.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-16,8.03,180.0,59.03,281.3,11.3,8.69,163.0,0.004,0.034,0.018,0.03,0.006,0.0,0.0,4.431,0.0,0.0,0.0,0.0
2003-02-23,8.28,5.0,22.015,408.6,15.8,9.12,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,8.28,308.0,80.198,114.6,12.3,8.61,293.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-09,8.15,346.0,122.52,115.1,11.0,8.53,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-16,7.45,21.0,64.57,215.1,16.2,0.0,13.6,0.004,0.021,0.01,0.03,0.0,0.006,0.0004,0.513,0.004,0.01,0.034,0.0
2003-03-23,7.706666666666667,29.666666666666668,64.788,202.03333333333333,13.2,7.925,35.849999999999994,0.0,0.023,0.0245,0.03,0.002,0.006,0.0004,0.87,0.004,0.01,0.0455,0.0
2003-03-30,7.69,8.0,40.93,207.1,13.6,8.43,8.36,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-06,7.8,80.0,97.04,148.7,12.1,8.01,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-13,7.58,5.0,27.305,277.3,17.3,8.12,2.1,0.004,0.015,0.01,0.03,0.002,0.0,0.0,0.136,0.0,0.0,0.0,0.0
2003-04-20,8.2,5.0,19.681,293.8,13.1,9.85,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-27,8.33,5.0,12.42,302.8,12.4,10.35,1.12,0.004,0.021,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
2003-05-04,8.3,6.0,9.72,489.3,15.4,9.95,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-11,7.78,5.0,8.067,552.0,16.4,8.69,0.78,0.004,0.002,0.01,0.03,0.008,0.0,0.0,0.005,0.0,0.0,0.0,0.0
2003-05-18,7.68,5.0,8.67,635.0,12.6,10.08,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-25,7.77,5.0,8.716,636.0,13.0,9.57,0.38,0.004,0.02,0.014,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.008,0.0
2003-06-01,7.54,5.0,8.659,623.1,9.8,10.64,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-08,7.78,5.0,8.51,765.0,11.6,9.79,0.47,0.004,0.028,0.011,0.03,0.011,0.0,0.0,0.068,0.0,0.0,0.0,0.0
2003-06-15,8.35,5.0,7.532,974.0,13.2,8.32,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-22,7.97,7.5,6.523,820.0,8.95,10.93,0.52,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-29,8.34,5.0,6.27,947.0,10.9,11.07,0.45,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-06,8.35,6.0,6.26,933.0,12.5,10.02,0.41,0.004,0.005,0.01,0.03,0.008,0.0,0.0,0.028,0.0,0.0,0.0,0.0
2003-07-13,7.8,5.0,5.94,963.0,9.5,11.02,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-20,8.53,5.0,3.9,1746.0,12.1,9.91,0.44,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-27,8.11,5.0,3.58,2188.0,13.4,10.04,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-03,7.59,11.0,3.747,2181.0,12.1,10.03,0.43,0.004,0.734,0.016,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0
2003-08-10,7.92,5.0,3.47,2190.0,11.6,10.73,0.54,0.004,0.018,0.015,0.03,0.014,0.0,0.0,0.048,0.0,0.0,0.0,0.0
2003-08-17,8.59,5.0,3.442,2550.0,15.5,10.73,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-24,8.04,5.0,3.0997,1992.0,12.2,10.37,0.79,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-31,8.16,5.0,3.6,2477.0,15.0,10.7,0.55,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
2003-09-07,8.64,5.0,3.3,2593.0,15.8,10.47,0.6,0.004,0.021,0.01,0.03,0.014,0.0,0.0,0.06,0.0,0.0,0.008,0.0
